القطاع,الاختصار,التقييم,المعنى بالإنجليزية,المعنى بالعربية
المدن الذكية والتكنولوجيا الحكومية (GovTech),G2C,10/10,Government to Citizen,من الحكومة إلى المواطن
المدن الذكية والتكنولوجيا الحكومية (GovTech),G2B,9.5/10,Government to Business,من الحكومة إلى الأعمال
المدن الذكية والتكنولوجيا الحكومية (GovTech),PPP,10/10,Public-Private Partnership,الشراكة بين القطاعين العام والخاص
المدن الذكية والتكنولوجيا الحكومية (GovTech),ITS,9.5/10,Intelligent Transportation Systems,أنظمة النقل الذكية
المدن الذكية والتكنولوجيا الحكومية (GovTech),WSN,9/10,Wireless Sensor Networks,شبكات الاستشعار اللاسلكية
المدن الذكية والتكنولوجيا الحكومية (GovTech),AMI,8.5/10,Advanced Metering Infrastructure,البنية التحتية المتقدمة للعدادات (الذكية)
المدن الذكية والتكنولوجيا الحكومية (GovTech),V2I,9.5/10,Vehicle-to-Infrastructure,من المركبة إلى البنية التحتية
المدن الذكية والتكنولوجيا الحكومية (GovTech),C2C,9/10,Citizen to Citizen,من مواطن إلى مواطن
المدن الذكية والتكنولوجيا الحكومية (GovTech),GOV,10/10,Government,حكومة (مطلوبة جداً)
المدن الذكية والتكنولوجيا الحكومية (GovTech),MUNI,9/10,Municipal,بلدي / محليات
المدن الذكية والتكنولوجيا الحكومية (GovTech),DOT,10/10,Department of Transportation,وزارة النقل
المدن الذكية والتكنولوجيا الحكومية (GovTech),CIV,9.5/10,Civic / Civilian,مدني / مجتمعي
المدن الذكية والتكنولوجيا الحكومية (GovTech),DMV,10/10,Department of Motor Vehicles,إدارة المركبات الآلية (المرور)
المدن الذكية والتكنولوجيا الحكومية (GovTech),NPO,9.5/10,Non-Profit Organization,منظمة غير ربحية
المدن الذكية والتكنولوجيا الحكومية (GovTech),NGO,10/10,Non-Governmental Organization,منظمة غير حكومية
المدن الذكية والتكنولوجيا الحكومية (GovTech),EGOV,10/10,Electronic Government,الحكومة الإلكترونية
المدن الذكية والتكنولوجيا الحكومية (GovTech),FOIA,9/10,Freedom of Information Act,قانون حرية المعلومات
المدن الذكية والتكنولوجيا الحكومية (GovTech),UID,9.5/10,Unique Identification,الهوية الفريدة
المدن الذكية والتكنولوجيا الحكومية (GovTech),PIV,8.5/10,Personal Identity Verification,التحقق من الهوية الشخصية
المدن الذكية والتكنولوجيا الحكومية (GovTech),TAX,10/10,Tax,ضريبة
التصميم الرقمي وتجربة المستخدم (UI/UX),UXD,10/10,User Experience Design,تصميم تجربة المستخدم
التصميم الرقمي وتجربة المستخدم (UI/UX),IXD,9.5/10,Interaction Design,تصميم التفاعل
التصميم الرقمي وتجربة المستخدم (UI/UX),UXR,9.5/10,User Experience Research,أبحاث تجربة المستخدم
