القطاع,الاختصار,التقييم,المعنى بالإنجليزية,المعنى بالعربية
الطب البيطري ورعاية الحيوانات (VetTech),DVM,10/10,Doctor of Veterinary Medicine,دكتور في الطب البيطري
الطب البيطري ورعاية الحيوانات (VetTech),VET,10/10,Veterinary,بيطري
الطب البيطري ورعاية الحيوانات (VetTech),PET,10/10,Pet,حيوان أليف
الطب البيطري ورعاية الحيوانات (VetTech),ANM,9/10,Animal,حيوان
الطب البيطري ورعاية الحيوانات (VetTech),FEL,8.5/10,Feline,القططيات (خاص بالقطط)
الطب البيطري ورعاية الحيوانات (VetTech),EQN,8.5/10,Equine,الخيليات (خاص بالخيل)
الطب البيطري ورعاية الحيوانات (VetTech),BOV,8.5/10,Bovine,البقريات (خاص بالأبقار)
الطب البيطري ورعاية الحيوانات (VetTech),WLF,9/10,Wildlife,الحياة البرية
الطب البيطري ورعاية الحيوانات (VetTech),VMC,9/10,Veterinary Medical Center,المركز الطبي البيطري
الطب البيطري ورعاية الحيوانات (VetTech),VTH,8.5/10,Veterinary Teaching Hospital,المستشفى البيطري التعليمي
الطب البيطري ورعاية الحيوانات (VetTech),VEM,9/10,Veterinary Emergency Medicine,طب الطوارئ البيطري
الطب البيطري ورعاية الحيوانات (VetTech),VPH,9/10,Veterinary Public Health,الصحة العامة البيطرية
الطب البيطري ورعاية الحيوانات (VetTech),VDI,9/10,Veterinary Diagnostic Imaging,التصوير التشخيصي البيطري
الطب البيطري ورعاية الحيوانات (VetTech),BVM,9.5/10,Bachelor of Veterinary Medicine,بكالوريوس الطب البيطري
الطب البيطري ورعاية الحيوانات (VetTech),AWC,9/10,Animal Welfare Center,مركز رعاية الحيوان
الطب البيطري ورعاية الحيوانات (VetTech),PAC,9/10,Pet Animal Care,رعاية الحيوانات الأليفة
الطب البيطري ورعاية الحيوانات (VetTech),VTA,8.5/10,Veterinary Technician Assistant,مساعد فني بيطري
الطب البيطري ورعاية الحيوانات (VetTech),VPR,9/10,Veterinary Practice,العيادة البيطرية الممارسة
الطب البيطري ورعاية الحيوانات (VetTech),TPR,8.5/10,Temperature Pulse Respiration,العلامات الحيوية للحيوان
الطب البيطري ورعاية الحيوانات (VetTech),APH,9/10,Animal Public Health,الصحة العامة للحيوان
صناعة التعبئة والتغليف والمواد (Packaging),PKG,10/10,Packaging,التعبئة والتغليف
صناعة التعبئة والتغليف والمواد (Packaging),HDPE,9.5/10,High-Density Polyethylene,البولي إيثيلين عالي الكثافة (بلاستيك)
صناعة التعبئة والتغليف والمواد (Packaging),LDPE,9.5/10,Low-Density Polyethylene,البولي إيثيلين منخفض الكثافة
صناعة التعبئة والتغليف والمواد (Packaging),FRP,9/10,Fiberglass Reinforced Plastic,البلاستيك المقوى بالألياف
صناعة التعبئة والتغليف والمواد (Packaging),PLA,9/10,Polylactic Acid,حمض البوليلاكتيك (بلاستيك حيوي)
صناعة التعبئة والتغليف والمواد (Packaging),PHA,9/10,Polyhydroxyalkanoate,البولي هيدروكسي ألكانوات (قابل للتحلل)
صناعة التعبئة والتغليف والمواد (Packaging),FSC,10/10,Forest Stewardship Council,مجلس رعاية الغابات (للكرتون الورقي)
صناعة التعبئة والتغليف والمواد (Packaging),CRB,9/10,Coated Recycled Board,الورق المقوى المعاد تدويره المطلي
صناعة التعبئة والتغليف والمواد (Packaging),CUK,8.5/10,Coated Unbleached Kraft,ورق الكرافت غير المبيض المطلي
صناعة التعبئة والتغليف والمواد (Packaging),SBS,9/10,Solid Bleached Sulfate,كبريتات مبيضة صلبة (للعلب الفاخرة)
صناعة التعبئة والتغليف والمواد (Packaging),FBB,9/10,Folding Box Board,لوح الصناديق القابلة للطي
صناعة التعبئة والتغليف والمواد (Packaging),SFP,9/10,Sustainable Forest Products,منتجات الغابات المستدامة
صناعة التعبئة والتغليف والمواد (Packaging),IBC,9.5/10,Intermediate Bulk Container,حاوية السوائب المتوسطة (للشحن)
صناعة التعبئة والتغليف والمواد (Packaging),FIBC,9/10,Flexible Intermediate Bulk Container,حاويات السوائب المرنة
صناعة التعبئة والتغليف والمواد (Packaging),RPP,9/10,Recyclable Plastic Packaging,العبوات البلاستيكية القابلة لإعادة التدوير
صناعة التعبئة والتغليف والمواد (Packaging),COR,9.5/10,Corrugated,الكرتون المضلع
صناعة التعبئة والتغليف والمواد (Packaging),PAB,8.5/10,Paperboard,الورق المقوى
صناعة التعبئة والتغليف والمواد (Packaging),FMC,9/10,Flexible Material Coating,طلاء المواد المرنة
صناعة التعبئة والتغليف والمواد (Packaging),BPI,9/10,Biodegradable Products Institute,معهد المنتجات القابلة للتحلل
صناعة التعبئة والتغليف والمواد (Packaging),VCI,8.5/10,Volatile Corrosion Inhibitor,مانع التآكل المتطاير (تغليف المعادن)
السكك الحديدية والنقل العام (TransitTech),HSR,10/10,High-Speed Rail,السكك الحديدية عالية السرعة
السكك الحديدية والنقل العام (TransitTech),LRT,10/10,Light Rail Transit,النقل بالسكك الحديدية الخفيفة (الترام)
السكك الحديدية والنقل العام (TransitTech),BRT,9.5/10,Bus Rapid Transit,النقل السريع بالحافلات
السكك الحديدية والنقل العام (TransitTech),MRT,10/10,Mass Rapid Transit,النقل الجماعي السريع (المترو)
السكك الحديدية والنقل العام (TransitTech),PRT,8.5/10,Personal Rapid Transit,النقل السريع الشخصي
السكك الحديدية والنقل العام (TransitTech),TOD,9.5/10,Transit-Oriented Development,التطوير الموجه نحو العبور
السكك الحديدية والنقل العام (TransitTech),MOW,9/10,Maintenance of Way,صيانة مسار السكة الحديد
السكك الحديدية والنقل العام (TransitTech),PTC,9.5/10,Positive Train Control,التحكم الإيجابي بالقطار (نظام أمان)
السكك الحديدية والنقل العام (TransitTech),CBTC,9/10,Communications-Based Train Control,التحكم بالقطارات القائم على الاتصالات
السكك الحديدية والنقل العام (TransitTech),EMU,9/10,Electric Multiple Unit,وحدة كهربائية متعددة (للقطارات)
السكك الحديدية والنقل العام (TransitTech),DMU,8.5/10,Diesel Multiple Unit,وحدة ديزل متعددة
السكك الحديدية والنقل العام (TransitTech),OHE,9/10,Overhead Equipment,المعدات العلوية (للكهرباء)
السكك الحديدية والنقل العام (TransitTech),CAT,9/10,Catenary,سلسلة الأسلاك العلوية للقطارات
السكك الحديدية والنقل العام (TransitTech),ROW,9.5/10,Right of Way,حق المرور (للسكك الحديدية)
السكك الحديدية والنقل العام (TransitTech),AFC,9.5/10,Automated Fare Collection,تحصيل الأجرة الآلي
السكك الحديدية والنقل العام (TransitTech),ATO,9/10,Automatic Train Operation,تشغيل القطار الآلي
السكك الحديدية والنقل العام (TransitTech),ATP,9/10,Automatic Train Protection,حماية القطار الآلية
السكك الحديدية والنقل العام (TransitTech),ATS,9/10,Automatic Train Supervision,الإشراف الآلي على القطارات
السكك الحديدية والنقل العام (TransitTech),MAG,10/10,Magnetic Levitation,الرفع المغناطيسي (قطار الماجليف)
السكك الحديدية والنقل العام (TransitTech),DLR,9/10,Docklands Light Railway,السكك الحديدية الخفيفة (مصطلح عالمي للنقل)
الإلكترونيات الاستهلاكية والأجهزة (Consumer Electronics),TWS,10/10,True Wireless Stereo,ستيريو لاسلكي حقيقي (للسماعات)
الإلكترونيات الاستهلاكية والأجهزة (Consumer Electronics),ANC,10/10,Active Noise Cancellation,إلغاء الضوضاء النشط
الإلكترونيات الاستهلاكية والأجهزة (Consumer Electronics),PNC,9/10,Passive Noise Cancellation,إلغاء الضوضاء السلبي
الإلكترونيات الاستهلاكية والأجهزة (Consumer Electronics),ENC,9/10,Environmental Noise Cancellation,إلغاء الضوضاء البيئية
الإلكترونيات الاستهلاكية والأجهزة (Consumer Electronics),HMD,9.5/10,Head-Mounted Display,شاشة تثبت على الرأس (نظارات VR)
الإلكترونيات الاستهلاكية والأجهزة (Consumer Electronics),FOV,10/10,Field of View,مجال الرؤية
الإلكترونيات الاستهلاكية والأجهزة (Consumer Electronics),PPD,9/10,Pixels Per Degree,بكسل لكل درجة (دقة نظارات الواقع الافتراضي)
الإلكترونيات الاستهلاكية والأجهزة (Consumer Electronics),IPD,8.5/10,Interpupillary Distance,المسافة بين الحدقتين
الإلكترونيات الاستهلاكية والأجهزة (Consumer Electronics),BLE,10/10,Bluetooth Low Energy,بلوتوث منخفض الطاقة
الإلكترونيات الاستهلاكية والأجهزة (Consumer Electronics),FOTA,9.5/10,Firmware Over The Air,تحديث البرامج الثابتة عبر الهواء
الإلكترونيات الاستهلاكية والأجهزة (Consumer Electronics),SIP,9/10,System in Package,نظام في حزمة (شرائح إلكترونية)
الإلكترونيات الاستهلاكية والأجهزة (Consumer Electronics),PCBA,9.5/10,Printed Circuit Board Assembly,تجميع لوحات الدوائر المطبوعة
الإلكترونيات الاستهلاكية والأجهزة (Consumer Electronics),PTH,8.5/10,Plated Through Hole,الثقب المطلي عبر اللوحة
الإلكترونيات الاستهلاكية والأجهزة (Consumer Electronics),DFMA,9/10,Design for Manufacture and Assembly,التصميم من أجل التصنيع والتجميع
الإلكترونيات الاستهلاكية والأجهزة (Consumer Electronics),NPI,10/10,New Product Introduction,مرحلة تقديم المنتج الجديد
الإلكترونيات الاستهلاكية والأجهزة (Consumer Electronics),EVT,9.5/10,Engineering Validation Test,اختبار التحقق الهندسي
الإلكترونيات الاستهلاكية والأجهزة (Consumer Electronics),DVT,9.5/10,Design Validation Test,اختبار التحقق من التصميم
الإلكترونيات الاستهلاكية والأجهزة (Consumer Electronics),PVT,9.5/10,Production Validation Test,اختبار التحقق من الإنتاج
الإلكترونيات الاستهلاكية والأجهزة (Consumer Electronics),EOL,10/10,End of Life,نهاية عمر المنتج (توقف التصنيع)
